1_Stanley2Cross_  | time:  1.0732359886169434
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0017256736755371094
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0019969940185546875
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0019512176513671875
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0019233226776123047
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0027027130126953125
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002084016799926758
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002494335174560547
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0017368793487548828
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002910137176513672
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0030014514923095703
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002621173858642578
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0035419464111328125
1_Stanley2Cross_offset -10.72759823131396 mm / angle 10.203973721731531deg / z speed -0.7367825096319907 CROSS::[]  | time:  0.0034999847412109375
1_Stanley2Cross_offset -6.911513467929595 mm / angle 8.309895152365744deg / z speed -0.5803730565817208 CROSS::[]  | time:  0.0030503273010253906
1_Stanley2Cross_offset -6.342840149810756 mm / angle 5.263301519589902deg / z speed -0.3910129709569645 CROSS::[]  | time:  0.0037050247192382812
